university,level,role,facts,url,hint
chula,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:chula.ac.th+application+deadline+required+documents
chula,ug,fees,tuition,https://www.chula.ac.th/en/academics/admissions/tuition-and-fees/,https://www.google.com/search?q=site:chula.ac.th+tuition+fee+per+year+cost
chula,ug,english,english,http://www.ise.eng.chula.ac.th/prospective-student/international-applicants,https://www.google.com/search?q=site:chula.ac.th+TOEFL+IELTS+minimum+score+english+language+requirement
chula,ug,program,"language,duration",,https://www.google.com/search?q=site:chula.ac.th+programme+duration+language+of+instruction
chula,ug,about,city,,https://www.google.com/search?q=site:chula.ac.th+campus+location+city
chula,pg,admissions,"deadline,documents,eligibility",https://www.chula.ac.th/en/admissions/,https://www.google.com/search?q=site:chula.ac.th+application+deadline+required+documents
chula,pg,fees,tuition,https://www.chula.ac.th/en/academics/admissions/tuition-and-fees/,https://www.google.com/search?q=site:chula.ac.th+tuition+fee+per+year+cost
chula,pg,english,english,,https://www.google.com/search?q=site:chula.ac.th+TOEFL+IELTS+minimum+score+english+language+requirement
chula,pg,program,"language,duration,english,tuition",https://www.cp.eng.chula.ac.th/en/prospective/graduate/master-computerscience/,https://www.google.com/search?q=site:chula.ac.th+programme+duration+language+of+instruction
chula,pg,about,city,,https://www.google.com/search?q=site:chula.ac.th+campus+location+city
urfu,ug,admissions,"deadline,documents,eligibility",https://urfu.ru/en/prospective-students/how-to-apply/entry-requirements/,https://www.google.com/search?q=site:urfu.ru+application+deadline+required+documents
urfu,ug,fees,tuition,,https://www.google.com/search?q=site:urfu.ru+tuition+fee+per+year+cost
urfu,ug,english,english,,https://www.google.com/search?q=site:urfu.ru+TOEFL+IELTS+minimum+score+english+language+requirement
urfu,ug,program,"language,duration",,https://www.google.com/search?q=site:urfu.ru+programme+duration+language+of+instruction
urfu,ug,about,city,,https://www.google.com/search?q=site:urfu.ru+campus+location+city
urfu,pg,admissions,"deadline,documents,eligibility",https://urfu.ru/en/admission/,https://www.google.com/search?q=site:urfu.ru+application+deadline+required+documents
urfu,pg,fees,tuition,,https://www.google.com/search?q=site:urfu.ru+tuition+fee+per+year+cost
urfu,pg,english,english,,https://www.google.com/search?q=site:urfu.ru+TOEFL+IELTS+minimum+score+english+language+requirement
urfu,pg,program,"language,duration",,https://www.google.com/search?q=site:urfu.ru+programme+duration+language+of+instruction
urfu,pg,about,city,,https://www.google.com/search?q=site:urfu.ru+campus+location+city
vnu,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:vnu.edu.vn+application+deadline+required+documents
vnu,ug,fees,tuition,,https://www.google.com/search?q=site:vnu.edu.vn+tuition+fee+per+year+cost
vnu,ug,english,english,,https://www.google.com/search?q=site:vnu.edu.vn+TOEFL+IELTS+minimum+score+english+language+requirement
vnu,ug,program,"language,duration",,https://www.google.com/search?q=site:vnu.edu.vn+programme+duration+language+of+instruction
vnu,ug,about,city,,https://www.google.com/search?q=site:vnu.edu.vn+campus+location+city
vnu,pg,admissions,"deadline,documents,eligibility",https://vnu.edu.vn/eng/,https://www.google.com/search?q=site:vnu.edu.vn+application+deadline+required+documents
vnu,pg,fees,tuition,,https://www.google.com/search?q=site:vnu.edu.vn+tuition+fee+per+year+cost
vnu,pg,english,english,,https://www.google.com/search?q=site:vnu.edu.vn+TOEFL+IELTS+minimum+score+english+language+requirement
vnu,pg,program,"language,duration",,https://www.google.com/search?q=site:vnu.edu.vn+programme+duration+language+of+instruction
vnu,pg,about,city,,https://www.google.com/search?q=site:vnu.edu.vn+campus+location+city
auca,ug,admissions,"deadline,documents,eligibility",,https://www.google.com/search?q=site:auca.kg+application+deadline+required+documents
auca,ug,fees,tuition,,https://www.google.com/search?q=site:auca.kg+tuition+fee+per+year+cost
auca,ug,english,english,,https://www.google.com/search?q=site:auca.kg+TOEFL+IELTS+minimum+score+english+language+requirement
auca,ug,program,"language,duration",,https://www.google.com/search?q=site:auca.kg+programme+duration+language+of+instruction
auca,ug,about,city,,https://www.google.com/search?q=site:auca.kg+campus+location+city
auca,pg,admissions,"deadline,documents,eligibility",https://auca.kg/en/,https://www.google.com/search?q=site:auca.kg+application+deadline+required+documents
auca,pg,fees,tuition,,https://www.google.com/search?q=site:auca.kg+tuition+fee+per+year+cost
auca,pg,english,english,,https://www.google.com/search?q=site:auca.kg+TOEFL+IELTS+minimum+score+english+language+requirement
auca,pg,program,"language,duration",,https://www.google.com/search?q=site:auca.kg+programme+duration+language+of+instruction
auca,pg,about,city,,https://www.google.com/search?q=site:auca.kg+campus+location+city
